;gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cell;cancer
42016;ILF2;3.75E-52;-0.499431806;0.111;0.303;1.26E-47;Macrophage;Breast
42017;NPC1;5.21E-52;-0.538468449;0.061;0.222;1.75E-47;Macrophage;Breast
42018;RAB10;6.03E-52;-0.3198154;0.236;0.459;2.02E-47;Macrophage;Breast
42019;MIR181A1HG;6.16E-52;-0.446388084;0.037;0.172;2.06E-47;Macrophage;Breast
42020;MAPRE1;7.25E-52;-0.355848101;0.168;0.374;2.43E-47;Macrophage;Breast
42021;RPS3;7.48E-52;0.432590024;0.817;0.853;2.51E-47;Macrophage;Breast
42022;GHITM;8.13E-52;-0.493657895;0.234;0.465;2.73E-47;Macrophage;Breast
42023;DDX5;8.66E-52;-0.445146886;0.632;0.857;2.91E-47;Macrophage;Breast
42024;MX1;9.17E-52;1.248575252;0.234;0.061;3.08E-47;Macrophage;Breast
42025;CELF1;1.05E-51;-0.397182015;0.188;0.398;3.53E-47;Macrophage;Breast
42026;SLC43A3;1.11E-51;-0.457787279;0.151;0.356;3.73E-47;Macrophage;Breast
42027;OLR1;1.22E-51;1.115249525;0.357;0.165;4.10E-47;Macrophage;Breast
42028;CAP1;1.43E-51;0.448940579;0.468;0.517;4.79E-47;Macrophage;Breast
42029;ZNF706;1.46E-51;-0.423919702;0.273;0.509;4.89E-47;Macrophage;Breast
42030;GNA13;1.53E-51;-0.40593932;0.163;0.369;5.14E-47;Macrophage;Breast
42031;PURB;1.62E-51;-0.517155732;0.081;0.254;5.44E-47;Macrophage;Breast
42032;UFM1;1.63E-51;-0.423874904;0.173;0.382;5.48E-47;Macrophage;Breast
42033;SIK3;1.65E-51;-0.376227846;0.029;0.153;5.52E-47;Macrophage;Breast
42034;TUT7;1.66E-51;-0.562681468;0.073;0.242;5.55E-47;Macrophage;Breast
42035;GATAD2A;1.67E-51;-0.442183083;0.057;0.211;5.59E-47;Macrophage;Breast
42036;RBM17;1.97E-51;-0.492218437;0.143;0.347;6.61E-47;Macrophage;Breast
42037;HCST;2.13E-51;1.202040012;0.342;0.184;7.15E-47;Macrophage;Breast
42038;N4BP2L2;2.86E-51;-0.387209141;0.279;0.512;9.59E-47;Macrophage;Breast
42039;HUWE1;3.04E-51;-0.438413347;0.069;0.233;1.02E-46;Macrophage;Breast
42040;DDX6;3.58E-51;-0.418759972;0.108;0.292;1.20E-46;Macrophage;Breast
42041;RGL1;4.02E-51;-0.490783295;0.064;0.222;1.35E-46;Macrophage;Breast
42042;MMP9;4.83E-51;-0.807838698;0.143;0.348;1.62E-46;Macrophage;Breast
42043;SRSF10;5.31E-51;-0.293712393;0.146;0.333;1.78E-46;Macrophage;Breast
42044;HSPA9;5.60E-51;-0.517795576;0.153;0.363;1.88E-46;Macrophage;Breast
42045;RBM8A;6.01E-51;-0.253814181;0.279;0.499;2.01E-46;Macrophage;Breast
42046;COTL1;6.05E-51;0.739090535;0.465;0.438;2.03E-46;Macrophage;Breast
42047;HBP1;7.65E-51;-0.505254712;0.075;0.245;2.57E-46;Macrophage;Breast
42048;CXCL9;7.78E-51;1.795809576;0.13;0.005;2.61E-46;Macrophage;Breast
42049;PAFAH1B1;1.19E-50;-0.452947826;0.1;0.281;3.98E-46;Macrophage;Breast
42050;LGALS9;1.41E-50;1.046124733;0.275;0.107;4.72E-46;Macrophage;Breast
42051;CD109;1.60E-50;-0.569618204;0.062;0.218;5.37E-46;Macrophage;Breast
42052;NR3C1;2.13E-50;-0.608193655;0.145;0.35;7.13E-46;Macrophage;Breast
42053;CXCL10;2.35E-50;2.141849913;0.198;0.037;7.88E-46;Macrophage;Breast
42054;SPRY2;3.21E-50;-0.407205088;0.018;0.127;1.08E-45;Macrophage;Breast
42055;SURF4;3.30E-50;-0.472535367;0.124;0.318;1.11E-45;Macrophage;Breast
42056;CHD2;3.40E-50;-0.334894207;0.099;0.269;1.14E-45;Macrophage;Breast
42057;SLC44A1;3.45E-50;-0.57390075;0.073;0.239;1.16E-45;Macrophage;Breast
42058;SRP14;4.01E-50;0.377918937;0.721;0.784;1.35E-45;Macrophage;Breast
42059;HNRNPA0;4.54E-50;-0.347390495;0.188;0.396;1.52E-45;Macrophage;Breast
42060;ANXA2;4.64E-50;-0.492824021;0.598;0.826;1.56E-45;Macrophage;Breast
42061;AGFG1;6.09E-50;-0.398370648;0.061;0.215;2.04E-45;Macrophage;Breast
42062;PLEKHM2;7.47E-50;-0.382271691;0.088;0.255;2.51E-45;Macrophage;Breast
42063;AGR2;7.60E-50;1.266455146;0.151;0.014;2.55E-45;Macrophage;Breast
42064;HNRNPU;8.11E-50;-0.278345825;0.428;0.654;2.72E-45;Macrophage;Breast
42065;CLEC7A;9.76E-50;1.056267792;0.31;0.154;3.27E-45;Macrophage;Breast
42066;CSF2RA;1.00E-49;-0.566279014;0.139;0.338;3.36E-45;Macrophage;Breast
42067;IFIT1;1.20E-49;1.316512198;0.143;0.012;4.01E-45;Macrophage;Breast
42068;RNF11;1.35E-49;-0.310767133;0.067;0.22;4.54E-45;Macrophage;Breast
42069;NECTIN2;1.53E-49;-0.392339159;0.113;0.293;5.13E-45;Macrophage;Breast
42070;BCAR3;1.57E-49;-0.344948229;0.015;0.116;5.26E-45;Macrophage;Breast
42071;ATOX1;1.58E-49;0.725508218;0.534;0.492;5.29E-45;Macrophage;Breast
42072;SPTY2D1;1.60E-49;-0.326485148;0.068;0.221;5.37E-45;Macrophage;Breast
42073;MSN;1.61E-49;-0.434079111;0.299;0.535;5.40E-45;Macrophage;Breast
42074;MINOS1;1.74E-49;0.954254104;0.363;0.269;5.84E-45;Macrophage;Breast
42075;NBN;2.40E-49;-0.502613509;0.089;0.261;8.05E-45;Macrophage;Breast
42076;COX5A;3.74E-49;0.774013082;0.379;0.316;1.25E-44;Macrophage;Breast
42077;NANS;4.15E-49;-0.654292433;0.169;0.381;1.39E-44;Macrophage;Breast
42078;CEMIP2;4.21E-49;-0.446405227;0.034;0.163;1.41E-44;Macrophage;Breast
42079;ARRDC3;5.14E-49;-0.491051225;0.146;0.34;1.72E-44;Macrophage;Breast
42080;PRDX5;5.15E-49;1.008394897;0.332;0.188;1.73E-44;Macrophage;Breast
42081;TIMP2;5.21E-49;0.950154346;0.339;0.225;1.75E-44;Macrophage;Breast
42082;NDUFS5;6.84E-49;0.748774286;0.446;0.399;2.30E-44;Macrophage;Breast
42083;EIF4G1;7.29E-49;-0.313443816;0.126;0.306;2.44E-44;Macrophage;Breast
42084;FUS;8.33E-49;-0.264484995;0.379;0.595;2.79E-44;Macrophage;Breast
42085;ZFC3H1;8.33E-49;-0.379608191;0.043;0.177;2.80E-44;Macrophage;Breast
42086;ARPC2;9.62E-49;0.259796549;0.573;0.669;3.23E-44;Macrophage;Breast
42087;CTTNBP2NL;9.64E-49;-0.46186821;0.07;0.231;3.23E-44;Macrophage;Breast
42088;PHACTR1;1.02E-48;-0.487163742;0.201;0.414;3.40E-44;Macrophage;Breast
42089;ALOX5AP;1.03E-48;1.047578936;0.537;0.389;3.46E-44;Macrophage;Breast
42090;RPS2;1.19E-48;0.442307321;0.917;0.946;3.99E-44;Macrophage;Breast
42091;MGST3;1.33E-48;0.840493519;0.403;0.3;4.47E-44;Macrophage;Breast
42092;LONRF3;1.44E-48;-0.294730697;0.01;0.1;4.84E-44;Macrophage;Breast
42093;CORO1C;1.90E-48;-0.294592207;0.209;0.412;6.38E-44;Macrophage;Breast
42094;PPP4R2;2.51E-48;-0.380012167;0.078;0.239;8.41E-44;Macrophage;Breast
42095;YBX1;2.65E-48;-0.518495185;0.64;0.849;8.89E-44;Macrophage;Breast
42096;RPL31;3.30E-48;0.720910572;0.74;0.703;1.11E-43;Macrophage;Breast
42097;THAP2;3.95E-48;-0.481381635;0.031;0.155;1.32E-43;Macrophage;Breast
42098;C15orf48;4.68E-48;-0.950250588;0.485;0.691;1.57E-43;Macrophage;Breast
42099;RARA;5.12E-48;-0.402761746;0.031;0.154;1.72E-43;Macrophage;Breast
42100;NORAD;5.24E-48;-0.291037763;0.148;0.331;1.76E-43;Macrophage;Breast
42101;SCML1;5.38E-48;-0.435096228;0.048;0.186;1.81E-43;Macrophage;Breast
42102;SESN2;6.28E-48;-0.409214664;0.036;0.164;2.11E-43;Macrophage;Breast
42103;NFKBIB;6.55E-48;-0.328712135;0.054;0.196;2.20E-43;Macrophage;Breast
42104;MAPK1IP1L;6.63E-48;-0.361290538;0.106;0.279;2.22E-43;Macrophage;Breast
42105;IER2;7.05E-48;0.803313156;0.439;0.357;2.36E-43;Macrophage;Breast
42106;SELENOH;7.50E-48;0.984228102;0.318;0.215;2.52E-43;Macrophage;Breast
42107;GLS;8.39E-48;-0.436009231;0.168;0.369;2.81E-43;Macrophage;Breast
42108;LMNA;8.40E-48;-0.70398742;0.311;0.547;2.82E-43;Macrophage;Breast
42109;AQP9;9.65E-48;-0.957355502;0.052;0.187;3.23E-43;Macrophage;Breast
42110;RARRES3;9.76E-48;0.877548588;0.186;0.037;3.27E-43;Macrophage;Breast
42111;IL10;1.11E-47;-1.074315944;0.055;0.199;3.71E-43;Macrophage;Breast
42112;HMGB1;1.14E-47;0.295079606;0.594;0.695;3.81E-43;Macrophage;Breast
42113;LRRFIP2;1.30E-47;-0.508266347;0.066;0.222;4.38E-43;Macrophage;Breast
42114;COPS8;1.38E-47;-0.539003339;0.066;0.222;4.62E-43;Macrophage;Breast
42115;MGST2;1.51E-47;0.935634171;0.208;0.048;5.07E-43;Macrophage;Breast
42116;FTX;1.61E-47;-0.433766539;0.065;0.216;5.40E-43;Macrophage;Breast
42117;ABCF1;1.86E-47;-0.350468618;0.109;0.281;6.25E-43;Macrophage;Breast
42118;KCTD20;2.30E-47;-0.306152444;0.068;0.213;7.73E-43;Macrophage;Breast
42119;CHORDC1;2.51E-47;-0.732996887;0.095;0.268;8.40E-43;Macrophage;Breast
42120;HNMT;2.63E-47;1.059976937;0.274;0.112;8.82E-43;Macrophage;Breast
42121;PTP4A2;2.67E-47;-0.319409555;0.244;0.455;8.95E-43;Macrophage;Breast
42122;PLAUR;2.69E-47;-0.437549309;0.392;0.629;9.03E-43;Macrophage;Breast
42123;FAM107B;2.85E-47;-0.580625528;0.123;0.312;9.54E-43;Macrophage;Breast
42124;TAF7;3.44E-47;-0.479005236;0.126;0.312;1.16E-42;Macrophage;Breast
42125;HERC4;3.81E-47;-0.400841938;0.077;0.236;1.28E-42;Macrophage;Breast
42126;TNFRSF4;4.17E-47;-0.534547765;0.02;0.128;1.40E-42;Macrophage;Breast
42127;AMPD3;4.55E-47;-0.479091746;0.066;0.219;1.52E-42;Macrophage;Breast
42128;LPL;4.84E-47;-0.860015157;0.055;0.201;1.62E-42;Macrophage;Breast
42129;UBC;4.98E-47;-0.972934582;0.658;0.858;1.67E-42;Macrophage;Breast
42130;PPIA;4.99E-47;0.350203034;0.666;0.764;1.67E-42;Macrophage;Breast
42131;GSTK1;5.11E-47;0.933239083;0.25;0.095;1.72E-42;Macrophage;Breast
42132;NAB1;5.63E-47;-0.252193796;0.029;0.141;1.89E-42;Macrophage;Breast
42133;NCOA3;5.83E-47;-0.355509539;0.075;0.231;1.95E-42;Macrophage;Breast
42134;RAB20;7.26E-47;-0.428582768;0.124;0.306;2.44E-42;Macrophage;Breast
42135;TSPAN3;8.44E-47;-0.46298716;0.112;0.293;2.83E-42;Macrophage;Breast
42136;RPL9;8.45E-47;-0.410717089;0.746;0.926;2.83E-42;Macrophage;Breast
42137;EEF1B2;9.28E-47;-0.343687635;0.471;0.703;3.11E-42;Macrophage;Breast
42138;AC245014.3;9.29E-47;1.149976588;0.155;0.022;3.12E-42;Macrophage;Breast
42139;RAB9A;9.93E-47;-0.581142798;0.065;0.219;3.33E-42;Macrophage;Breast
42140;IGFBP5;1.00E-46;1.70075045;0.143;0.023;3.37E-42;Macrophage;Breast
42141;FEM1B;1.11E-46;-0.528255538;0.068;0.224;3.72E-42;Macrophage;Breast
42142;GOLGA4;1.28E-46;-0.44017013;0.162;0.358;4.28E-42;Macrophage;Breast
42143;C16orf72;1.34E-46;-0.43899328;0.107;0.282;4.51E-42;Macrophage;Breast
42144;CTSA;1.42E-46;0.943762131;0.309;0.172;4.75E-42;Macrophage;Breast
42145;ZBTB1;1.43E-46;-0.520371405;0.073;0.232;4.81E-42;Macrophage;Breast
42146;TET2;1.54E-46;-0.430562297;0.072;0.227;5.18E-42;Macrophage;Breast
42147;MUC20-OT1;1.63E-46;-0.468086929;0.091;0.259;5.46E-42;Macrophage;Breast
42148;RPL29;2.08E-46;0.265459477;0.775;0.833;6.99E-42;Macrophage;Breast
42149;ERGIC1;2.10E-46;-0.422464206;0.1;0.273;7.06E-42;Macrophage;Breast
42150;ANKRD11;2.18E-46;-0.360918698;0.189;0.387;7.30E-42;Macrophage;Breast
42151;CTNNBL1;2.46E-46;-0.477438666;0.083;0.247;8.24E-42;Macrophage;Breast
42152;RAB13;2.89E-46;-0.465641686;0.195;0.403;9.70E-42;Macrophage;Breast
42153;MT-ND5;3.27E-46;-0.328241254;0.607;0.806;1.10E-41;Macrophage;Breast
42154;ZNF281;3.33E-46;-0.331145607;0.084;0.238;1.12E-41;Macrophage;Breast
42155;SERPINF1;4.02E-46;0.911102868;0.235;0.083;1.35E-41;Macrophage;Breast
42156;CHST15;4.18E-46;-0.514891495;0.039;0.168;1.40E-41;Macrophage;Breast
42157;TRIP12;4.31E-46;-0.303613719;0.111;0.281;1.45E-41;Macrophage;Breast
42158;EPSTI1;4.37E-46;1.116067873;0.251;0.105;1.46E-41;Macrophage;Breast
42159;TUBB2A;4.91E-46;-0.384154981;0.05;0.187;1.65E-41;Macrophage;Breast
42160;ARMCX3;5.61E-46;-0.45901525;0.134;0.322;1.88E-41;Macrophage;Breast
42161;CSDE1;5.63E-46;-0.309274389;0.249;0.458;1.89E-41;Macrophage;Breast
42162;STAT3;6.31E-46;-0.311777315;0.202;0.399;2.12E-41;Macrophage;Breast
42163;COX17;6.63E-46;0.393326543;0.338;0.427;2.22E-41;Macrophage;Breast
42164;MRPS21;7.10E-46;0.994885577;0.329;0.189;2.38E-41;Macrophage;Breast
42165;TBC1D8;7.67E-46;-0.348573159;0.011;0.101;2.57E-41;Macrophage;Breast
42166;KRT19;8.59E-46;1.450678821;0.269;0.097;2.88E-41;Macrophage;Breast
42167;RPL13A;9.26E-46;0.634489672;0.919;0.908;3.11E-41;Macrophage;Breast
42168;CFL1;9.28E-46;0.265606088;0.747;0.828;3.11E-41;Macrophage;Breast
42169;C4orf3;1.14E-45;0.933139402;0.381;0.267;3.83E-41;Macrophage;Breast
42170;OST4;1.22E-45;0.664157387;0.514;0.491;4.08E-41;Macrophage;Breast
42171;KCMF1;1.40E-45;-0.373339456;0.053;0.193;4.70E-41;Macrophage;Breast
42172;PSMA7;1.48E-45;0.504350302;0.623;0.668;4.97E-41;Macrophage;Breast
42173;HSPA1B;1.97E-45;-1.146070714;0.49;0.317;6.61E-41;Macrophage;Breast
42174;EZR;2.03E-45;-0.564944743;0.179;0.382;6.81E-41;Macrophage;Breast
42175;DHX9;2.05E-45;-0.349071998;0.083;0.239;6.89E-41;Macrophage;Breast
42176;EPC1;2.60E-45;-0.317140624;0.113;0.279;8.73E-41;Macrophage;Breast
42177;GUK1;2.71E-45;0.584530595;0.417;0.405;9.10E-41;Macrophage;Breast
42178;RIPOR1;3.20E-45;-0.387801194;0.061;0.207;1.07E-40;Macrophage;Breast
42179;01-Mar;3.79E-45;0.918433167;0.242;0.077;1.27E-40;Macrophage;Breast
42180;RAPH1;3.91E-45;-0.388764345;0.053;0.188;1.31E-40;Macrophage;Breast
42181;VASP;4.12E-45;-0.45639437;0.167;0.366;1.38E-40;Macrophage;Breast
42182;SNHG15;6.23E-45;-0.413605527;0.068;0.213;2.09E-40;Macrophage;Breast
42183;RRAD;6.85E-45;-0.960067182;0.012;0.1;2.30E-40;Macrophage;Breast
42184;NFKBIZ;7.71E-45;-0.316389642;0.195;0.386;2.58E-40;Macrophage;Breast
42185;TMEM273;7.80E-45;-0.529229915;0.04;0.167;2.62E-40;Macrophage;Breast
42186;SP110;8.66E-45;0.984124957;0.187;0.043;2.90E-40;Macrophage;Breast
42187;TAB2;9.73E-45;-0.380002521;0.08;0.233;3.26E-40;Macrophage;Breast
42188;ATP5PO;1.43E-44;0.803752923;0.355;0.272;4.79E-40;Macrophage;Breast
42189;KHDRBS1;1.44E-44;-0.324563508;0.183;0.378;4.83E-40;Macrophage;Breast
42190;TRMT112;1.47E-44;0.601534296;0.368;0.399;4.94E-40;Macrophage;Breast
42191;USP34;1.54E-44;-0.356107179;0.088;0.246;5.18E-40;Macrophage;Breast
42192;IFI27L2;1.65E-44;0.98063204;0.278;0.125;5.54E-40;Macrophage;Breast
42193;RNF149;2.89E-44;-0.29284635;0.223;0.419;9.68E-40;Macrophage;Breast
42194;ARHGDIA;3.14E-44;-0.342132199;0.212;0.414;1.05E-39;Macrophage;Breast
42195;GYPC;3.47E-44;-0.550668522;0.198;0.404;1.16E-39;Macrophage;Breast
42196;KIF13B;4.00E-44;-0.418029028;0.039;0.165;1.34E-39;Macrophage;Breast
42197;UBE2L6;4.06E-44;1.01976137;0.248;0.096;1.36E-39;Macrophage;Breast
42198;ACADVL;5.31E-44;-0.351052256;0.155;0.339;1.78E-39;Macrophage;Breast
42199;SERPINB1;5.78E-44;-0.672884997;0.237;0.452;1.94E-39;Macrophage;Breast
42200;NDUFB11;7.02E-44;0.850866805;0.387;0.303;2.35E-39;Macrophage;Breast
42201;ZFP36L1;7.08E-44;0.657520819;0.574;0.445;2.37E-39;Macrophage;Breast
42202;IPO7;8.04E-44;-0.516899177;0.112;0.288;2.70E-39;Macrophage;Breast
42203;RHOQ;8.64E-44;-0.48838844;0.139;0.324;2.90E-39;Macrophage;Breast
42204;CD84;9.17E-44;0.955942109;0.3;0.142;3.08E-39;Macrophage;Breast
42205;LYST;9.97E-44;-0.34375224;0.06;0.199;3.34E-39;Macrophage;Breast
42206;TBC1D7;1.03E-43;-0.298272789;0.027;0.136;3.44E-39;Macrophage;Breast
42207;NDUFA11;1.08E-43;0.857148771;0.365;0.278;3.62E-39;Macrophage;Breast
42208;PITPNB;1.12E-43;-0.438842186;0.069;0.218;3.76E-39;Macrophage;Breast
42209;CYB5R4;1.28E-43;-0.345497679;0.071;0.217;4.30E-39;Macrophage;Breast
42210;CLIP1;1.32E-43;-0.451675143;0.103;0.271;4.42E-39;Macrophage;Breast
42211;PRPF40A;1.51E-43;-0.328551139;0.216;0.412;5.05E-39;Macrophage;Breast
42212;LACC1;1.55E-43;-0.554352174;0.061;0.204;5.21E-39;Macrophage;Breast
42213;JMJD6;1.68E-43;-0.32052741;0.052;0.182;5.62E-39;Macrophage;Breast
42214;CLTA;2.01E-43;0.302605358;0.397;0.487;6.75E-39;Macrophage;Breast
42215;ARL6IP4;2.10E-43;0.834457716;0.379;0.274;7.03E-39;Macrophage;Breast
42216;PMP22;2.52E-43;-1.005023987;0.17;0.346;8.46E-39;Macrophage;Breast
42217;GATA3;2.62E-43;1.030161784;0.138;0.021;8.78E-39;Macrophage;Breast
42218;HSPH1;2.70E-43;-1.782565518;0.281;0.383;9.04E-39;Macrophage;Breast
42219;TMEM258;2.75E-43;0.690796788;0.452;0.408;9.22E-39;Macrophage;Breast
42220;KCNE1;2.87E-43;-0.344127873;0.03;0.14;9.63E-39;Macrophage;Breast
42221;SLC35E3;2.94E-43;-0.408772988;0.058;0.199;9.85E-39;Macrophage;Breast
42222;COPS9;2.97E-43;0.767120118;0.388;0.335;9.96E-39;Macrophage;Breast
42223;AKR1A1;3.05E-43;0.81256916;0.336;0.223;1.02E-38;Macrophage;Breast
42224;MT-ND1;3.44E-43;-0.491323609;0.876;0.95;1.15E-38;Macrophage;Breast
42225;SEC61B;3.78E-43;-0.336722295;0.458;0.681;1.27E-38;Macrophage;Breast
42226;PSMC6;4.13E-43;-0.374880335;0.12;0.292;1.38E-38;Macrophage;Breast
42227;PSMA3;4.30E-43;-0.261316307;0.204;0.39;1.44E-38;Macrophage;Breast
42228;MARCKS;4.53E-43;0.493262084;0.675;0.638;1.52E-38;Macrophage;Breast
42229;COPA;4.91E-43;-0.318507429;0.155;0.336;1.65E-38;Macrophage;Breast
42230;HIGD2A;5.00E-43;0.77025137;0.328;0.275;1.68E-38;Macrophage;Breast
42231;MPDU1;5.01E-43;-0.478766392;0.075;0.227;1.68E-38;Macrophage;Breast
42232;SF3B4;5.01E-43;-0.2985675;0.066;0.204;1.68E-38;Macrophage;Breast
42233;ADIPOR1;5.23E-43;-0.325378397;0.117;0.285;1.76E-38;Macrophage;Breast
42234;TMOD3;6.30E-43;-0.320117441;0.123;0.292;2.11E-38;Macrophage;Breast
42235;CAPZB;7.98E-43;0.352539633;0.385;0.44;2.67E-38;Macrophage;Breast
42236;PTEN;8.47E-43;-0.416523086;0.101;0.264;2.84E-38;Macrophage;Breast
42237;DDAH2;8.63E-43;-0.312608159;0.164;0.348;2.89E-38;Macrophage;Breast
42238;IGHA1;1.11E-42;-0.628085885;0.023;0.128;3.73E-38;Macrophage;Breast
42239;TCEAL9;1.17E-42;-0.567444852;0.104;0.271;3.93E-38;Macrophage;Breast
42240;C5AR2;1.24E-42;-0.459978631;0.036;0.156;4.16E-38;Macrophage;Breast
42241;MTHFD2L;1.70E-42;-0.382597317;0.046;0.172;5.71E-38;Macrophage;Breast
42242;CLTC;1.75E-42;-0.290206047;0.24;0.434;5.86E-38;Macrophage;Breast
42243;NSMAF;1.94E-42;-0.395057118;0.056;0.192;6.51E-38;Macrophage;Breast
42244;ST13;2.68E-42;-0.380472113;0.288;0.503;8.98E-38;Macrophage;Breast
42245;COL4A3BP;3.04E-42;-0.408757589;0.089;0.247;1.02E-37;Macrophage;Breast
42246;ROMO1;3.45E-42;0.771447455;0.317;0.294;1.16E-37;Macrophage;Breast
42247;PIK3CB;3.49E-42;-0.362145876;0.041;0.164;1.17E-37;Macrophage;Breast
42248;VAMP5;3.57E-42;1.068063098;0.216;0.071;1.20E-37;Macrophage;Breast
42249;NDUFA3;3.88E-42;0.942500784;0.329;0.219;1.30E-37;Macrophage;Breast
42250;ELF1;3.88E-42;-0.327663983;0.196;0.383;1.30E-37;Macrophage;Breast
42251;FDX1;4.59E-42;-0.503954399;0.098;0.261;1.54E-37;Macrophage;Breast
42252;CNPY3;5.56E-42;0.904987833;0.24;0.093;1.87E-37;Macrophage;Breast
42253;TXNL1;5.71E-42;-0.399843921;0.158;0.344;1.91E-37;Macrophage;Breast
42254;CRIM1;5.86E-42;-0.415221416;0.022;0.125;1.97E-37;Macrophage;Breast
42255;HSPA13;5.97E-42;-0.364127638;0.039;0.159;2.00E-37;Macrophage;Breast
42256;H2AFY;6.37E-42;0.311653259;0.392;0.47;2.14E-37;Macrophage;Breast
42257;SEC62;6.46E-42;-0.384679129;0.383;0.605;2.17E-37;Macrophage;Breast
42258;SYTL3;9.08E-42;-0.435291736;0.021;0.122;3.04E-37;Macrophage;Breast
42259;SNRPG;9.15E-42;0.325219125;0.368;0.469;3.07E-37;Macrophage;Breast
42260;ENY2;9.35E-42;0.450642997;0.374;0.431;3.14E-37;Macrophage;Breast
42261;SRSF4;9.57E-42;-0.33701105;0.133;0.305;3.21E-37;Macrophage;Breast
42262;RAPGEF1;1.02E-41;-0.360972579;0.102;0.262;3.43E-37;Macrophage;Breast
42263;YTHDF3;1.06E-41;-0.463002102;0.101;0.264;3.56E-37;Macrophage;Breast
42264;EIF2AK3;1.18E-41;-0.383092013;0.024;0.128;3.97E-37;Macrophage;Breast
42265;RPS23;1.24E-41;0.290996215;0.871;0.898;4.17E-37;Macrophage;Breast
42266;HMGN3;1.38E-41;0.945684874;0.244;0.101;4.63E-37;Macrophage;Breast
42267;SMAD2;1.50E-41;-0.431747252;0.089;0.244;5.05E-37;Macrophage;Breast
42268;PSMB4;1.76E-41;-0.288354637;0.168;0.345;5.90E-37;Macrophage;Breast
42269;MAP4K5;1.77E-41;-0.382657675;0.044;0.17;5.95E-37;Macrophage;Breast
42270;EIF3A;1.79E-41;-0.319507371;0.262;0.466;6.01E-37;Macrophage;Breast
42271;LRRC59;1.81E-41;-0.353239084;0.093;0.249;6.09E-37;Macrophage;Breast
42272;WDR83OS;1.83E-41;0.639346352;0.373;0.363;6.15E-37;Macrophage;Breast
42273;F13A1;2.04E-41;-0.945022085;0.052;0.175;6.84E-37;Macrophage;Breast
42274;HECTD1;2.07E-41;-0.479639626;0.088;0.246;6.94E-37;Macrophage;Breast
42275;NDUFB4;2.37E-41;0.644551851;0.362;0.352;7.96E-37;Macrophage;Breast
42276;DOCK4;2.41E-41;-0.269535014;0.138;0.3;8.07E-37;Macrophage;Breast
42277;ELK3;2.48E-41;-0.395775451;0.057;0.19;8.32E-37;Macrophage;Breast
42278;JPT1;2.91E-41;0.853127869;0.341;0.233;9.75E-37;Macrophage;Breast
42279;SEM1;2.93E-41;0.486561871;0.394;0.439;9.84E-37;Macrophage;Breast
42280;TOM1;3.43E-41;-0.307914918;0.076;0.215;1.15E-36;Macrophage;Breast
42281;CRY1;3.47E-41;-0.268631588;0.017;0.11;1.16E-36;Macrophage;Breast
42282;NDUFS6;3.65E-41;0.726246027;0.348;0.295;1.22E-36;Macrophage;Breast
42283;MSR1;4.44E-41;0.705446693;0.416;0.417;1.49E-36;Macrophage;Breast
42284;TAGLN2;5.08E-41;-0.39058735;0.358;0.576;1.70E-36;Macrophage;Breast
42285;GSAP;5.28E-41;-0.422323762;0.06;0.198;1.77E-36;Macrophage;Breast
42286;DUSP16;5.39E-41;-0.347304637;0.019;0.114;1.81E-36;Macrophage;Breast
42287;BRAF;5.39E-41;-0.300540372;0.043;0.162;1.81E-36;Macrophage;Breast
42288;ZNF516;5.81E-41;-0.268209872;0.017;0.107;1.95E-36;Macrophage;Breast
42289;BLOC1S6;6.29E-41;-0.394002372;0.118;0.286;2.11E-36;Macrophage;Breast
42290;CD14;7.00E-41;0.727599589;0.489;0.307;2.35E-36;Macrophage;Breast
42291;PKNOX1;8.75E-41;-0.307158923;0.023;0.123;2.93E-36;Macrophage;Breast
42292;YTHDC1;1.01E-40;-0.263590869;0.137;0.297;3.39E-36;Macrophage;Breast
42293;SNRPD2;1.04E-40;0.763240447;0.382;0.338;3.49E-36;Macrophage;Breast
42294;CHSY1;1.14E-40;-0.373961435;0.051;0.177;3.83E-36;Macrophage;Breast
42295;PSMA6;1.19E-40;-0.26817511;0.043;0.159;3.98E-36;Macrophage;Breast
42296;FOXN2;1.35E-40;-0.334435189;0.064;0.198;4.51E-36;Macrophage;Breast
42297;COX14;1.46E-40;0.917604439;0.286;0.173;4.90E-36;Macrophage;Breast
42298;FNBP1;1.52E-40;-0.359204184;0.165;0.344;5.10E-36;Macrophage;Breast
42299;GLRX3;1.70E-40;-0.349094992;0.084;0.232;5.70E-36;Macrophage;Breast
42300;KDM1A;1.76E-40;-0.256497455;0.029;0.133;5.92E-36;Macrophage;Breast
42301;PTPN2;1.80E-40;-0.444367441;0.106;0.269;6.04E-36;Macrophage;Breast
42302;MTMR9;2.00E-40;-0.351295454;0.045;0.167;6.70E-36;Macrophage;Breast
42303;ATP6V0D1;2.04E-40;-0.314162361;0.231;0.424;6.83E-36;Macrophage;Breast
42304;EIF1AX;2.54E-40;-0.366588126;0.303;0.511;8.52E-36;Macrophage;Breast
42305;CCDC93;2.60E-40;-0.282800398;0.03;0.136;8.72E-36;Macrophage;Breast
42306;CD52;2.89E-40;1.102721989;0.154;0.028;9.68E-36;Macrophage;Breast
42307;BRK1;2.98E-40;0.603622048;0.395;0.394;1.00E-35;Macrophage;Breast
42308;PAPSS2;3.07E-40;-0.403682725;0.051;0.18;1.03E-35;Macrophage;Breast
